NAME	StromalScore	ImmuneScore	ESTIMATEScore
OV5392P0	-2563.254575	-1255.00045	-3818.255025
BN2291P5	-2225.674801	-1855.726394	-4081.401195
CR2650P9	-3091.137624	-1112.715308	-4203.852932
LU6441P3	-1466.203289	2834.891103	1368.687814
HN3508P8	-2653.668768	-834.2733553	-3487.942123
CC11307P0	-3026.664829	-1635.247996	-4661.912825
CR2525P2	-1435.303359	2691.71665	1256.413291
BR9457P10	-2458.306505	-1619.903134	-4078.209639
LI1061P1	-2339.811395	-893.7216819	-3233.533077
LU11584P5	-2957.088005	-1244.368636	-4201.456641
CC6638P7	-3027.046343	-1139.100997	-4166.14734
CR2531P4	-2918.998016	-1318.97486	-4237.972876
CR4005P3	-2995.329255	-975.877928	-3971.207183
LI1099P4	-2078.845931	-1580.687444	-3659.533375
SA0666P5	-414.215125	-1120.79401	-1535.009135
ME12106P0	-2210.350355	-1217.042768	-3427.393123
KI0326P7	-1948.845659	-1050.497225	-2999.342884
ME12000P0	-1643.719538	-1495.912185	-3139.631724
CR6460P23	-2931.656032	-1166.48803	-4098.144063
BL3338P8	-3023.941266	-1551.657501	-4575.598767
LU11634P0	-2546.39384	-1139.726433	-3686.120274
SA10231P0	-1535.678675	-1108.511801	-2644.190476
BL5007P1	-3016.499497	-1788.842037	-4805.341533
ME12116P0	-2032.918128	-1930.482107	-3963.400235
CR15724P4	-3090.968962	-1506.952929	-4597.921892
HN2622P4	-2220.912863	-685.8315324	-2906.744395
LY3148P4	-2501.294015	1347.87245	-1153.421565
SA3829P6	-1985.045085	-1582.173803	-3567.218888
CV10054P0	-3085.891274	-884.1087014	-3969.999976
GA6820P8	-2993.392753	-773.0315794	-3766.424333
OV9422P5	-2954.962818	-1009.300958	-3964.263776
CR15449P3	-3017.164545	-1143.800869	-4160.965414
CR2515P4	-3161.743223	-1233.440744	-4395.183967
PA9454P3	-2900.016525	-699.1947	-3599.211225
