NAME	StromalScore	ImmuneScore	ESTIMATEScore
SA10151P0	-963.6511352	-808.0012228	-1771.652358
BR10607P2	-1399.295869	-434.64781	-1833.943679
CR5030P1	-654.5364321	-73.16346026	-727.6998923
GA0095P5	-1004.904916	-161.830209	-1166.735125
CR2047P7	-1256.017236	-212.1183569	-1468.135593
LU6415P4	-1454.362659	-1288.733566	-2743.096225
SA10179P0	957.8660896	148.9819377	1106.848027
CR11482P0	-1768.766862	-493.8735372	-2262.640399
LU5184P2	-2095.835189	-1964.967308	-4060.802497
SA10181P0	-691.2102708	-518.4675617	-1209.677832
GA6844P5	-753.4635008	29.63401382	-723.829487
HN2572P16	-125.0055849	714.9036345	589.8980496
ME9394P2	-928.9883427	-98.670415	-1027.658758
LU6940P10	-1003.726776	-1233.036424	-2236.763201
LI6687P3	-2047.330802	-1398.137142	-3445.467944
PA1360P5	-51.05186346	724.3561035	673.3042401
GL0720P5	-587.2380919	-139.4654286	-726.7035205
CV13641P2	-1306.062654	-474.9034454	-1780.9661
HN3796P5	-844.1257735	-359.1918787	-1203.317652
LU1828P2	-759.659323	-49.45312507	-809.1124481
BN5470P0	210.4918358	-383.3569198	-172.8650841
PA0968P4	-342.8148619	146.8874557	-195.9274062
GS11330P0	125.6997345	-131.8435257	-6.143791296
AL5503P2	-1804.344195	1707.983634	-96.36056084
BL5006P1	55.88496366	438.3139095	494.1988731
BN4027P1	-543.4016016	-989.18479	-1532.586392
GA0031P5	-1207.811941	-463.9580789	-1671.77002
LU6433P4	-1306.513409	-402.2876433	-1708.801052
SA13187P3	-988.1503524	98.94639338	-889.203959
LU5351P0	-1056.170921	-148.2542397	-1204.425161
LU2051P7	-699.245925	-709.7545985	-1409.000524
LU5159P3	-1588.657099	-481.4254135	-2070.082513
SA12066P0	241.8155129	896.4815958	1138.297109
ME12122P0	-1189.393001	-857.0703087	-2046.46331
ME11995P1	-1525.43692	-549.1080465	-2074.544967
CR6223P6	-892.2057126	-302.2099688	-1194.415681
BR10564P0	-650.8566098	-257.8969993	-908.7536091
ME12167P3	-1336.542529	-781.4032122	-2117.945741
LI2800P1	-859.1761238	-244.4118505	-1103.587974
ES11069P0	142.5994061	611.7973315	754.3967376
LU5214P0	-1079.919716	-963.9672807	-2043.886997
LI6296P4	-1410.803305	-625.9486314	-2036.751937
CR0231P5	-359.1522176	-76.20358779	-435.3558054
LU6402P4	-2588.845406	-865.7057559	-3454.551162
ME14010P1	-1455.993868	-951.1752458	-2407.169114
ME12153P1	-357.0626991	-396.8210537	-753.8837528
XX2428P9	-518.0238695	-520.6095329	-1038.633402
PA13039P1	-108.3974567	177.7996376	69.40218088
BN4003P3	-446.9817806	-807.0191334	-1254.000914
LY3604P5	-1117.204884	1937.975628	820.7707443
GA6897P8	-2393.232014	-1514.244527	-3907.476541
KI2432P8	-700.4950212	17.04789301	-683.4471282
CR3594P2	-711.3098876	-328.3778585	-1039.687746
LU5204P1	593.1939368	904.1754663	1497.369403
CR3547P2	-80.41374379	975.5442256	895.1304818
ME5282P0	-1356.529538	-1172.462981	-2528.992519
BN15385P4	-986.4631697	-575.9251413	-1562.388311
GA3341P2	-1115.570835	-386.1846969	-1501.755532
AL5535P1	-1551.521912	2200.771145	649.2492331
CR2506P7	-831.2787749	-246.4827258	-1077.761501
ME5285P6	-1724.059956	-944.9110229	-2668.970979
HN2590P4	-802.2667454	-285.1851544	-1087.4519
BN2289P25	-1739.720663	-1441.239594	-3180.960257
GA2101P2	-654.8193018	-369.9237087	-1024.74301
ME12223P0	-1151.569368	-863.3869583	-2014.956326
GA0114P2	-1096.51874	-177.0246144	-1273.543355
OV13609P1	-466.3773989	-694.225024	-1160.602423
ME12047P2	-552.9667816	-772.6455839	-1325.612366
HN3712P6	-346.9633472	-1.75614353	-348.7194907
HN3530P3	-1532.453531	-967.6507016	-2500.104233
CR2408P4	-1499.74761	-1192.791336	-2692.538945
BR5342P0	-776.615508	-170.5104999	-947.1260079
LU9348P7	-816.5427578	-346.110546	-1162.653304
LU5165P1	-504.4248697	-442.8882017	-947.3130714
HN1774P3	492.2521962	408.8307696	901.0829658
ES11077P0	141.7938373	512.8045234	654.5983607
BR5018P0	-331.0690098	264.8047024	-66.26430745
BR10508P0	-807.2525164	180.5809298	-626.6715865
CR5069P1	-1702.148332	-550.1084418	-2252.256774
SA10157P0	5.049062537	1040.41949	1045.468552
ME11974P1	-720.0518025	-93.86900285	-813.9208054
LU11942P0	-978.7042698	-995.113792	-1973.818062
SA4028P2	327.5751435	-111.4259875	216.149156
ME9395P2	-1562.39358	-987.9392149	-2550.332795
LU5199P1	146.7851223	848.2086437	994.993766
ME12001P0	-540.504999	-77.60819171	-618.1131907
LU5260P1	103.238476	662.1454511	765.3839271
BL5425P1	-417.4297625	85.17200366	-332.2577589
ES2263P5	-1495.378985	-1004.803981	-2500.182966
CR1801P7	-475.6143277	500.8434865	25.22915876
UT5326P1	-743.300331	-349.110677	-1092.411008
LU6401P6	-582.0855325	415.9055107	-166.1800219
KI2367P9	-111.0619826	-1.823931986	-112.8859146
HN2170P8	-1526.927448	-1171.227808	-2698.155256
LU9358P5	-415.7398378	39.53785736	-376.2019804
LI6677P6	-1291.119858	-674.1021607	-1965.222019
BN6300P6	-900.5258628	-125.1060135	-1025.631876
CR15057P5	-430.3493213	419.5738078	-10.77551354
OV15727P1	-1094.835464	-718.1850525	-1813.020516
LU11742P0	-754.2662574	-623.4315043	-1377.697762
