TestModel,Mouseratio,DuplicateModel,Vendor,TestModel2,Cancer,TumorPurity
ES0172-R21P4-95524-20200929,37.6,ES0172,NOD/SCID;,ES0172,ES,62.4
LI6666-R7P3-20180301-48499-20210406,19.77,LI6666,NOD/SCID;,LI6666,LI,80.23
HN5113-R5P6-20210519-R-20640-20210622,18.86,HN5113,NOD/SCID;,HN5113,HN,81.14
HN5113-R1P10-94586,18.65,HN5113,NOD/SCID;,HN5113,HN,81.35
LU11561-R1P2-20190702-9529-20210518,4.75,LU11561,NOD/SCID;,LU11561,LU,95.25
LY9592-R1P3-20200927-24236-20201215,27.75,LY9592,NOD/SCID;,LY9592,LY,72.25
HN5113-R2P8-50947-20200915,13.97,HN5113,NOD/SCID;,HN5113,HN,86.03
GL2861-R1P0-71637-RF,43.32,GL2861,NOD/SCID;,GL2861,GL,56.68
ME12116-R2P3-20200708-R-13211-20201027,5.96,ME12116,NOD/SCID;,ME12116,ME,94.04
PE16247-R1P3-53822-20210323,18.26,PE16247,NOD/SCID;,PE16247,PE,81.74
