NAME	Cancer	StromalScore	ImmuneScore	ESTIMATEScore
LU6907P3	NSCLC	-1889.276201	-854.3571735	-2743.633375
LU11772P0	NSCLC	-1078.02199	594.2852668	-483.7367232
LU11670P1	NSCLC	-1136.229182	-894.5538903	-2030.783072
LU6802P7	NSCLC	-835.9431576	-266.0364381	-1101.979596
LU5229P1	NSCLC	-271.2028381	-193.4541054	-464.6569435
LU6266P2	NSCLC	-1449.399539	-1203.729569	-2653.129107
LU11954P0	NSCLC	-1227.917971	-1470.445238	-2698.363209
LU11855P4	NSCLC	-747.8579297	-602.5935653	-1350.451495
LU11856P0	NSCLC	-1130.237055	-235.6899851	-1365.92704
LU1144P6	NSCLC	-637.8486937	-194.8769852	-832.7256789
LU5355P0	NSCLC	-452.6256724	551.2228869	98.5972145
LU16057P0	NSCLC	-484.1884699	538.7320294	54.54355947
LU11548P0	NSCLC	-645.7650972	-409.1217653	-1054.886862
LU11553P0	NSCLC	-1522.220867	-882.7033662	-2404.924234
LU5247P1	NSCLC	-944.2387763	-846.1242723	-1790.363049
LU6277P3	NSCLC	-577.820672	286.0127398	-291.8079322
LU5245P1	NSCLC	171.6877739	396.7611847	568.4489586
LU11693P0	NSCLC	-834.826747	-312.8118298	-1147.638577
LU11722P0	NSCLC	-106.005627	1114.913188	1008.907561
LU9342P4	NSCLC	-963.8689281	-325.5066923	-1289.37562
LU5187P7	NSCLC	-605.7748734	-6.364569524	-612.1394429
LU11815P0	NSCLC	-1114.65146	445.0082341	-669.6432259
LU5194P1	NSCLC	-801.7379843	287.9956335	-513.7423508
LU11561P0	NSCLC	-604.4926432	188.1454088	-416.3472344
LU11575P0	NSCLC	-237.3467624	-453.5845779	-690.9313403
LU11842P0	NSCLC	-37.56996847	429.4818725	391.911904
LU11876P0	NSCLC	-567.4703908	451.7987739	-115.6716169
LU11672P0	NSCLC	-136.8474098	157.2175369	20.37012715
LU11694P0	NSCLC	-69.51938921	319.9106186	250.3912294
LU6800P7	NSCLC	-1519.729516	-326.6108571	-1846.340373
LU11576P0	NSCLC	-898.4512118	502.5745678	-395.876644
LU5245P4	NSCLC	-148.2146655	310.1528774	161.9382119
LU2527P3	otherLU	-1606.671214	-1151.23976	-2757.910974
LU1901P6	otherLU	-798.1559735	422.4036047	-375.7523688
LU6415P4	otherLU	-1454.362659	-1288.733566	-2743.096225
LU6940P10	otherLU	-1003.726776	-1233.036424	-2236.763201
LU6421P7	otherLU	-1967.579396	-1778.101046	-3745.680442
LU1902P11	otherLU	-939.281356	110.2742232	-829.0071329
LU6438P4	otherLU	-1516.264439	-1119.713444	-2635.977882
LU0860P8	otherLU	1038.772646	1009.881798	2048.654444
LU9349P4	otherLU	60.59793626	199.1847878	259.782724
LU1271P5	otherLU	-699.6030408	939.0076892	239.4046483
LU5137P1	otherLU	-1273.228425	-1294.419165	-2567.64759
LU9337P2	otherLU	-230.5721746	467.6406503	237.0684757
LU9340P5	otherLU	-1449.752559	-904.1107565	-2353.863316
LU2509P5	otherLU	-971.7845202	-358.0423127	-1329.826833
LU6473P18	otherLU	-170.0224012	-589.2726768	-759.295078
LU2511P4	otherLU	-1320.564455	-476.9691588	-1797.533613
LU2567P9	otherLU	426.7200576	2815.235741	3241.955798
LU2529P4	otherLU	-905.1881713	127.5232261	-777.6649452
LU5178P3	SCLC	930.2437288	1721.991027	2652.234756
LU5238P2	SCLC	-1866.300026	-1626.780273	-3493.080299
LU5215P2	SCLC	-2051.001721	-1767.340293	-3818.342014
LU5195P1	SCLC	-1080.218093	-1089.116804	-2169.334897
LU5228P3	SCLC	-2232.5995	-1733.188707	-3965.788207
LU5261P3	SCLC	-1870.112642	-1556.509035	-3426.621677
LU5188P2	SCLC	-1349.85404	-1377.746334	-2727.600374
LU5234P2	SCLC	-1154.555247	-1428.664125	-2583.219372
LU5206P1	SCLC	-1808.309894	-1604.947422	-3413.257316
LU1480P3	SCLC	-2365.372329	-1869.011209	-4234.383538
LU5184P2	SCLC	-2095.835189	-1964.967308	-4060.802497
LU5159P3	SCLC	-1588.657099	-481.4254135	-2070.082513
LU5243P1	SCLC	-436.176729	-675.711511	-1111.88824
LU5210P3	SCLC	-2116.995048	-1712.361098	-3829.356147
LU5197P5	SCLC	-1669.374574	-1015.512987	-2684.887561
LU5269P4	SCLC	-2046.271634	-1377.591572	-3423.863206
LU2514P5	SCLC	-914.7729567	-1449.410316	-2364.183273
LU5233P3	SCLC	-1684.657088	-1615.845484	-3300.502572
LU5183P3	SCLC	-1849.852113	-1482.344818	-3332.196931
LU11714P0	SCLC	-1881.315608	-1228.12214	-3109.437748
LU11713P0	SCLC	-1023.9058	-325.8138975	-1349.719697
LU2551P8	SCLC	-1846.092554	-650.9803988	-2497.072952
LU5257P2	SCLC	-1931.039377	-1359.420497	-3290.459874
LU5192P2	SCLC	-1667.103004	-1485.259824	-3152.362829
LU5386P4	SCLC	-619.6312949	-795.1474443	-1414.778739
LU5263P5	SCLC	-1289.329763	-1361.595858	-2650.925621
LU5217P1	SCLC	-1872.247837	-1361.459565	-3233.707402
LU5265P4	SCLC	-1605.429253	-783.9176095	-2389.346863
LU5255P2	SCLC	-814.6834168	-160.4257965	-975.1092134
LU5250P4	SCLC	-1863.177585	-1502.142158	-3365.319743
LU5220P4	SCLC	-1263.620538	-1398.116495	-2661.737033
LU5264P4	SCLC	-1983.428339	-1458.524716	-3441.953055
LU5164P2	SCLC	-2254.744792	-1677.147275	-3931.892067
LU2417P10	SCLC	-914.4872961	-1225.09684	-2139.584136
LU5377P0	SCLC	-1135.339602	-677.2391281	-1812.57873
LU5236P2	SCLC	-665.4196562	-856.7937254	-1522.213382
LU2057P6	SCLC	-1316.161235	-205.9132807	-1522.074515
LU14020P1	SCLC	-1490.478491	-1249.928622	-2740.407113
LU5203P1	SCLC	-154.2378622	-638.7674254	-793.0052875
LU5266P4	SCLC	-1124.335963	-1068.731168	-2193.067131
LU5180P2	SCLC	-2161.793076	-1517.52607	-3679.319146
LU5173P1	SCLC	-1271.008841	-799.2830438	-2070.291885
LU5207P1	SCLC	-1249.200786	-1369.022197	-2618.222982
LU5196P1	SCLC	-1595.064963	-1458.9292	-3053.994163
LU11953P0	SCLC	-457.4249298	-1001.505175	-1458.930104
LU11644P0	SCLC	-845.4980088	-233.2218777	-1078.719887
LU5378P3	SCLC	-1766.024149	-1761.760692	-3527.784841
LU5171P2	SCLC	-1949.785392	-1729.731995	-3679.517387
LU1267P4	SCLC	-1285.451047	-1140.916234	-2426.36728
LU5139P2	SCLC	-2278.141189	-1125.253627	-3403.394816
LU5179P4	SCLC	-1624.800624	-1098.218199	-2723.018823
LU5202P4	SCLC	-1481.409335	-1022.907728	-2504.317064
LU5249P2	SCLC	-1068.438077	-1083.106547	-2151.544623
LU1508P8	SCLC	-1451.138518	-1552.679087	-3003.817605
LU5216P4	SCLC	-1892.432946	-1583.543316	-3475.976262
LU5375P0	SCLC	-1662.776135	-1751.736072	-3414.512207
LU5170P2	SCLC	-1967.0957	-1449.80052	-3416.89622
LU5248P1	SCLC	-2040.744727	-1555.386371	-3596.131098
LU5218P2	SCLC	-2149.779056	-1599.890463	-3749.66952
LU5258P2	SCLC	-1563.898066	-1412.103386	-2976.001452
LU5256P2	SCLC	-1897.710814	-1435.354324	-3333.065137
LU5242P4	SCLC	-1709.906958	-1599.013117	-3308.920075
LU5223P5	SCLC	-455.187767	-319.7005821	-774.8883492
LU11753P0	SCLC	-2369.967772	-1733.43405	-4103.401822
LU5167P1	SCLC	-2144.689097	-1296.036805	-3440.725903
LU5231P1	SCLC	-2328.486057	-1683.408872	-4011.894929
LU5271P2	SCLC	-2193.399484	-1571.90637	-3765.305854
LU5267P4	SCLC	-1466.616889	-1360.397329	-2827.014218
CR5053P1	CR	-548.7880757	77.25294705	-471.5351286
OV5383P1	OV	-741.316992	-559.480991	-1300.797983
GA13765P0	GA	0.334948148	1063.805807	1064.140756
GL6602P5	GL	4.139754524	1500.627935	1504.767689
LY2240P2	LY	385.3952747	3284.168089	3669.563364
CV10058P2	CV	-1165.420924	-152.7018093	-1318.122734
CR3612P3	CR	-1644.535655	-284.2520308	-1928.787686
ME12032P0	ME	-643.8867737	80.26598554	-563.6207882
OV5304P1	OV	-1907.418401	-1280.050394	-3187.468795
CR2110P4	CR	-821.2938253	-317.9838221	-1139.277647
ME11977P0	ME	-1405.023722	-1104.242143	-2509.265865
LI15535P1	LI	264.3606663	171.9053593	436.2660257
CR1281P1	CR	-1967.865919	-698.6734152	-2666.539334
OV15631P0	OV	-2074.36598	-1600.125231	-3674.49121
CR5092P1	CR	-945.8132963	-357.360938	-1303.174234
ME12185P0	ME	-898.9700229	-460.3373631	-1359.307386
OV5294P2	OV	-298.4886334	333.3725145	34.88388115
ME9364P5	ME	-943.079157	-444.843135	-1387.922292
GA0033P6	GA	-1675.22717	-779.7542018	-2454.981372
HN2488P0	HN	-302.9620039	131.1191032	-171.8429007
CR5098P0	CR	-147.5062743	123.9013072	-23.60496705
ES2267P4	ES	-1915.463855	-452.1901099	-2367.653965
CR15766P2	CR	-504.6082026	55.77172408	-448.8364786
SA16056P1	SA	-534.6954102	-65.18070034	-599.8761105
PA1443P4	PA	-979.7117199	-241.0761138	-1220.787834
PA1194P9	PA	-149.3293571	570.6517741	421.322417
LI6663P6	LI	-880.4375187	-104.3385116	-984.7760303
CR2441P3	CR	-273.7315541	432.1108157	158.3792616
LI6649P10	LI	-957.2478896	-455.7652617	-1413.013151
HN2222P3	HN	-657.7846194	-92.321815	-750.1064344
ME12159P0	ME	-1030.134037	-1088.066702	-2118.200739
CC6604P7	CC	-357.032617	811.6988326	454.6662156
SA10202P0	SA	765.1229641	1155.943517	1921.066481
CR2660P5	CR	-1575.144281	-719.7797248	-2294.924006
BR5337P0	BR	-174.439736	-470.615255	-645.054991
PA1333P7	PA	-88.04496853	1925.279201	1837.234232
PA6228P4	PA	-486.0441398	78.72405371	-407.3200861
PA13037P0	PA	993.5128222	1225.089896	2218.602719
CR2069P6	CR	-1103.881408	-538.0558327	-1641.937241
PA0226P2	PA	-308.1078588	68.86212548	-239.2457333
CR5051P1	CR	-1856.420495	-633.8581094	-2490.278605
SA10139P0	SA	-298.9777414	-626.3201308	-925.2978722
CC6658P5	CC	-736.7785591	104.957658	-631.8209011
ES0136P3	ES	-1732.31821	-1039.984488	-2772.302698
MC6624P6	MC	-1393.77569	-726.3310489	-2120.106739
PA2450P5	PA	-27.04011114	635.5181652	608.4780541
CR2568P7	CR	-1277.772204	-138.5005702	-1416.272774
GA0060P4	GA	-566.6332699	-24.81396562	-591.4472355
LY12962P1	LY	-712.4380985	1868.213407	1155.775308
PA1168P7	PA	-471.3803186	-41.0498865	-512.4302051
SA13327P3	SA	-296.4329923	-1254.170431	-1550.603423
CR3813P2	CR	-401.7445971	12.61408052	-389.1305166
MC3359P3	MC	-474.3116258	-449.6197216	-923.9313474
GA3055P2	GA	-1267.054521	-570.1919137	-1837.246435
HN3173P6	HN	-1089.881269	-751.0597962	-1840.941065
GA6843P9	GA	-1763.736985	-446.3696812	-2210.106666
LI6723P4	LI	-1165.418956	-302.0213966	-1467.440353
MC3416P3	MC	131.3648205	158.8612888	290.2261093
GA6209P5	GA	-1095.682034	-863.780862	-1959.462896
CR6689P4	CR	-1545.517334	-535.7371309	-2081.254465
CR3150P5	CR	-793.864039	-246.0972915	-1039.961331
CR1451P3	CR	-976.1006359	-299.0257447	-1275.126381
CR6461P13	CR	-1354.519151	-197.3862204	-1551.905371
GA3055P3	GA	-1328.010659	-461.2721284	-1789.282787
MC3464P7	MC	-592.7166388	54.07578011	-538.6408587
GA3102P5	GA	-1185.643894	-323.7805054	-1509.424399
CR1489P10	CR	-248.8452376	542.8978658	294.0526282
CR2849P9	CR	-1660.159739	-587.9058273	-2248.065566
ES0199P5	ES	-869.645323	-494.9763313	-1364.621654
SA10233P0	SA	-888.4539827	-559.5244835	-1447.978466
CR5085P0	CR	-802.5834587	-103.3165892	-905.9000479
